episode_id,scenario,provenance,gold_root,red_herrings,stated_cause,machine_label,human_label,notes
auth_cert_expiry#0,auth_cert_expiry,gold,"the TLS serving certificate on 'auth-gateway' expired, so all TLS handshakes fail; renewing/rotating the certificate restores it",a bad deploy | a network/DNS fault | scaling up will help | a CPU problem,"the TLS serving certificate on 'auth-gateway' expired, so all TLS handshakes fail; renewing/rotating the certificate restores it",CORRECT,,
auth_cert_expiry#1,auth_cert_expiry,herring,"the TLS serving certificate on 'auth-gateway' expired, so all TLS handshakes fail; renewing/rotating the certificate restores it",a bad deploy | a network/DNS fault | scaling up will help | a CPU problem,the incident is caused by a bad deploy,WRONG,,
auth_cert_expiry#2,auth_cert_expiry,generic,"the TLS serving certificate on 'auth-gateway' expired, so all TLS handshakes fail; renewing/rotating the certificate restores it",a bad deploy | a network/DNS fault | scaling up will help | a CPU problem,the service is just overloaded and needs more replicas,WRONG,,
aws_dynamodb_dns#0,aws_dynamodb_dns,gold,"a DNS Planner/Enactor race published an empty DNS record for the regional DynamoDB endpoint, so DynamoDB became unresolvable and the AWS control services that depend on it were impaired — the EC2/NLB/app 5xx are DOWNSTREAM victims. Fix the DNS state first, then drain the control-plane backlog.",the EC2/NLB/app-frontend victims being the root cause | scaling or failing over the loud victims will help | a bad deploy | a raw capacity shortage,"a DNS Planner/Enactor race published an empty DNS record for the regional DynamoDB endpoint, so DynamoDB became unresolvable and the AWS control services that depend on it were impaired — the EC2/NLB/app 5xx are DOWNSTREAM victims. Fix the DNS state first, then drain the control-plane backlog.",CORRECT,,
aws_dynamodb_dns#1,aws_dynamodb_dns,herring,"a DNS Planner/Enactor race published an empty DNS record for the regional DynamoDB endpoint, so DynamoDB became unresolvable and the AWS control services that depend on it were impaired — the EC2/NLB/app 5xx are DOWNSTREAM victims. Fix the DNS state first, then drain the control-plane backlog.",the EC2/NLB/app-frontend victims being the root cause | scaling or failing over the loud victims will help | a bad deploy | a raw capacity shortage,the incident is caused by the EC2/NLB/app-frontend victims being the root cause,WRONG,,
aws_dynamodb_dns#2,aws_dynamodb_dns,generic,"a DNS Planner/Enactor race published an empty DNS record for the regional DynamoDB endpoint, so DynamoDB became unresolvable and the AWS control services that depend on it were impaired — the EC2/NLB/app 5xx are DOWNSTREAM victims. Fix the DNS state first, then drain the control-plane backlog.",the EC2/NLB/app-frontend victims being the root cause | scaling or failing over the loud victims will help | a bad deploy | a raw capacity shortage,the service is just overloaded and needs more replicas,CORRECT,,
aws_kinesis_cell_manager#0,aws_kinesis_cell_manager,gold,"the Kinesis 'cell-manager' distributes shards by throughput not count, so many low-throughput shards piled on a few hosts, oversized status messages read as 'unhealthy', and a reshuffle storm overloaded the TLS connection-provisioner — restarting hosts only adds rebalance churn",a routine bad deploy | raw shard capacity shortage | restarting hosts will fix it | cell isolation will contain it,"the Kinesis 'cell-manager' distributes shards by throughput not count, so many low-throughput shards piled on a few hosts, oversized status messages read as 'unhealthy', and a reshuffle storm overloaded the TLS connection-provisioner — restarting hosts only adds rebalance churn",CORRECT,,
aws_kinesis_cell_manager#1,aws_kinesis_cell_manager,herring,"the Kinesis 'cell-manager' distributes shards by throughput not count, so many low-throughput shards piled on a few hosts, oversized status messages read as 'unhealthy', and a reshuffle storm overloaded the TLS connection-provisioner — restarting hosts only adds rebalance churn",a routine bad deploy | raw shard capacity shortage | restarting hosts will fix it | cell isolation will contain it,the incident is caused by a routine bad deploy,WRONG,,
aws_kinesis_cell_manager#2,aws_kinesis_cell_manager,generic,"the Kinesis 'cell-manager' distributes shards by throughput not count, so many low-throughput shards piled on a few hosts, oversized status messages read as 'unhealthy', and a reshuffle storm overloaded the TLS connection-provisioner — restarting hosts only adds rebalance churn",a routine bad deploy | raw shard capacity shortage | restarting hosts will fix it | cell isolation will contain it,the service is just overloaded and needs more replicas,CORRECT,,
azure_ddos#0,azure_ddos,gold,the 'ddos-mitigation' defensive path itself amplified the outage: under attack it starved legitimate traffic via over-aggressive blocking on a shared pool (defense amplification). Recalibrate thresholds and isolate legit traffic from the defense pool — do not scale the victims.,the front-door service being the root | a real capacity shortage (scale up) | a bad deploy | an upstream dependency failure,the 'ddos-mitigation' defensive path itself amplified the outage: under attack it starved legitimate traffic via over-aggressive blocking on a shared pool (defense amplification). Recalibrate thresholds and isolate legit traffic from the defense pool — do not scale the victims.,CORRECT,,
azure_ddos#1,azure_ddos,herring,the 'ddos-mitigation' defensive path itself amplified the outage: under attack it starved legitimate traffic via over-aggressive blocking on a shared pool (defense amplification). Recalibrate thresholds and isolate legit traffic from the defense pool — do not scale the victims.,the front-door service being the root | a real capacity shortage (scale up) | a bad deploy | an upstream dependency failure,the incident is caused by the front-door service being the root,WRONG,,
azure_ddos#2,azure_ddos,generic,the 'ddos-mitigation' defensive path itself amplified the outage: under attack it starved legitimate traffic via over-aggressive blocking on a shared pool (defense amplification). Recalibrate thresholds and isolate legit traffic from the defense pool — do not scale the victims.,the front-door service being the root | a real capacity shortage (scale up) | a bad deploy | an upstream dependency failure,the service is just overloaded and needs more replicas,WRONG,,
