id,claim,type,source_id,our_position
C1,"Autonomous AI on-call teammate that launches an investigation when an alert fires with no initial prompting",capability,S1,"Same trigger model; we evaluate a FROZEN policy on the incident rather than an online-learning agent (agent/llm.py)."
C2,"Forms multiple root-cause hypotheses and tests them against live telemetry, classifying each as validated/invalidated/inconclusive",capability,S1,"We grade the FINAL diagnosis at the MECHANISM level, not the search process (rex/scoring.py deterministic_judge)."
C3,"Branching/recursive hypothesis exploration that prunes on evidence and drills past surface findings (e.g. OOM caused by large Kafka payloads)",capability,S2,"Analogous to our REx Thompson-sampling refinement tree (rex/tree.py), but ours is graded for reward spread, not product UX."
C4,"Often identifies a likely root cause and proposes a code fix before the on-call engineer opens their laptop",capability,S1,"We score whether the proposed FIX is causally correct (W_FIX=0.25) AND non-harmful, not just produced."
C5,"Grounded in thousands of real-world incidents; benefits from data across tens of thousands of organizations",capability,S1,"Conceded advantage in breadth; our substrate is adversarial cascades from real post-mortems (scenarios/cidg, opensre-traj/specs/real)."
C6,"Access to logs, metrics, traces, dashboards, changes, plus source code, events, RUM, Database Monitoring, Network Path, Continuous Profiler",capability,S3,"Conceded: far broader signal access than our sim+GKE mesh (mreal/)."
C7,"Investigations complete about 2x faster than before, in approximately 3-4 minutes",quant,S3,"Speed is not our axis; we optimize correctness-under-misdirection, not latency."
C8,"Up to 95% decrease in time to resolution (claimed business impact)",quant,S2,"MTTR is a business metric, not a correctness metric; orthogonal to our reward."
C9,"Identifies root causes 90% faster",quant,S1,"Relative speed claim; no disclosed accuracy baseline to compare against."
C10,"Tested against more than 2,000 customer environments across tens of thousands of investigations",quant,S6,"Conceded: production-scale validation we cannot match; but volume of incidents != correctness on the hard victim-vs-cause class."
C11,"Enterprise readiness: RBAC and HIPAA-regulated workload support; first generally available Datadog AI agent",capability,S6,"Conceded: GA product hardening we do not claim."
C12,"Engineers review findings before action; teams can correct or reinforce conclusions; learns from every investigation",acknowledged_limit,S1,"Human-in-the-loop by design — i.e. not fully autonomous remediation; our framework explicitly models WHEN to escalate vs act (rex/escalate.py)."
C13,"No precision/recall, judge-human agreement statistics, or accuracy percentages are published; benchmark shown only as a relative bar chart (most-performant version)",not_disclosed,S2,"We publish a deterministic, mechanism-level reward with within-group spread (0.0/0.15/1.0) that is reproducible (rex/scoring.py)."
C14,"No false-positive / confident-but-wrong RCA rate is disclosed",not_disclosed,S2,"Our reward returns 0.0 when the metric LOOKS resolved but the mechanism is misdiagnosed (resolved alone = 0.45, not a pass)."
C15,"No public held-out benchmark with disclosed labels on adversarial cascades where the loudest alert points at a victim not the cause",not_disclosed,S2,"This adversarial class IS our substrate and thesis (ARCHITECTURE.md)."
C16,"Investigates the LIVE incident; correctness of trap-avoidance (naive fix makes it worse) is not a publicly evaluated axis",structural,S1,"We add an explicit trap penalty (TRAP_PENALTY=0.60) and grade fix safety (rex/scoring.py)."
C17,"Online learning from corrections means behavior is an adaptive moving target, not a frozen, reproducibly benchmarkable policy",structural,S1,"We freeze the policy to attribute reliability to environment + reward, enabling reproducible eval (ARCHITECTURE.md, agent/llm.py)."
C18,"No public evaluation of graduation: recognizing when NO safe in-band fix exists and escalating instead of acting",structural,S5,"We hold out singleton_node_notready (no safe fix) and require escalation, not flailing (rex/harness.py, rex/loop.py, rex/escalate.py)."
